accx,accy,accz,gyrox,gyroy,gyroz,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,anglex,angley,anglez,Out
1,0.09,-0.14,-0.05,0.2,0.1,5.75,-93.04,-47.17,-54.86,362.48,5.24,-93.8,362.48,0
1,0.09,-0.15,0.07,-0.01,0.07,5.86,-93.35,-47.16,-54.86,362.49,5.26,-93.8,362.49,0
1,0.08,-0.15,-0.05,-0.12,-0.02,5.58,-93.54,-47.17,-54.87,362.48,5.26,-93.8,362.48,0
0.99,0.08,-0.14,0.09,-0.07,-0.02,5.48,-93.44,-47.16,-54.88,362.48,5.27,-93.8,362.48,0
1.01,0.08,-0.16,0.09,-0.09,-0.05,5.6,-94.33,-47.15,-54.89,362.48,5.29,-93.82,362.48,0
1,0.08,-0.14,-0.08,0.12,0.15,5.42,-93.4,-47.16,-54.88,362.49,5.28,-93.8,362.49,0
0.99,0.08,-0.15,-0.03,0.02,0.16,5.53,-93.61,-47.16,-54.87,362.51,5.29,-93.8,362.51,0
0.97,0.09,-0.16,-0.02,-0.11,-0.33,6.16,-94.21,-47.16,-54.88,362.48,5.3,-93.81,362.48,0
0.98,0.09,-0.15,-0.14,0.15,0.07,6.48,-93.45,-47.18,-54.87,362.48,5.31,-93.79,362.48,0
1.01,0.07,-0.13,-0.05,-0.14,-0.07,4.7,-93.34,-47.18,-54.88,362.48,5.3,-93.8,362.48,0
1.02,0.1,-0.16,-0.19,-0.14,0.22,6.82,-93.26,-47.2,-54.9,362.5,5.31,-93.8,362.5,0
1,0.08,-0.13,0.32,0.11,0.12,5.05,-93.19,-47.17,-54.89,362.51,5.33,-93.78,362.51,0
1,0.1,-0.17,0.04,0.15,0.12,6.58,-94.12,-47.17,-54.87,362.52,5.36,-93.77,362.52,0
1,0.08,-0.15,0.07,-0.04,0.01,5.42,-93.7,-47.16,-54.87,362.52,5.37,-93.77,362.52,0
1.01,0.08,-0.14,-0.03,-0.06,-0.05,5.5,-93.18,-47.16,-54.88,362.51,5.37,-93.76,362.51,0
1.01,0.09,-0.14,0.17,0.11,-0.14,5.83,-92.81,-47.15,-54.87,362.5,5.39,-93.74,362.5,0
1,0.09,-0.14,-0.02,-0.14,-0.05,5.85,-93.26,-47.15,-54.88,362.5,5.4,-93.74,362.5,0
1,0.09,-0.15,0.04,-0.07,-0.04,5.75,-93.57,-47.14,-54.89,362.49,5.41,-93.74,362.49,0
1,0.08,-0.14,-0.08,-0.04,-0.05,5.48,-93.38,-47.15,-54.89,362.49,5.41,-93.74,362.49,0
1,0.09,-0.15,-0.08,-0.04,-0.08,5.88,-93.28,-47.16,-54.9,362.48,5.41,-93.73,362.48,0
1,0.08,-0.14,0.14,-0.03,0.06,5.46,-93.59,-47.15,-54.9,362.49,5.42,-93.73,362.49,0
0.99,0.09,-0.16,0,0.12,-0.07,6.12,-93.78,-47.15,-54.89,362.48,5.44,-93.72,362.48,0
1.01,0.08,-0.14,0.01,0.08,0.1,5.47,-93.4,-47.14,-54.88,362.49,5.44,-93.71,362.49,0
1,0.09,-0.15,-0.08,-0.09,0.01,5.91,-93.26,-47.15,-54.89,362.49,5.44,-93.71,362.49,0
0.99,0.09,-0.15,0.43,0.28,0.53,6.22,-93.22,-47.12,-54.9,362.48,5.49,-93.69,362.48,0
0.97,0.07,-0.13,-0.14,-0.15,-0.31,4.89,-93.57,-47.13,-54.91,362.45,5.46,-93.7,362.45,0
0.99,0.11,-0.16,-0.03,0.15,0.22,7.49,-92.78,-47.14,-54.9,362.47,5.5,-93.67,362.47,0
1.02,0.07,-0.12,-0.09,-0.04,0.02,4.54,-93.01,-47.14,-54.9,362.47,5.47,-93.66,362.47,0
1.01,0.1,-0.15,0.2,-0.04,-0.05,6.96,-92.42,-47.13,-54.91,362.46,5.52,-93.64,362.46,0
1,0.09,-0.14,0.07,0.17,0.27,5.9,-92.85,-47.12,-54.89,362.49,5.54,-93.61,362.49,0
0.99,0.09,-0.14,0.03,-0.03,-0.36,5.71,-93,-47.12,-54.89,362.46,5.54,-93.6,362.46,0
1,0.1,-0.15,0.06,-0.04,0.09,6.84,-92.94,-47.11,-54.9,362.47,5.57,-93.59,362.47,0
0.99,0.07,-0.13,0.07,-0.11,0.04,4.72,-93.36,-47.1,-54.91,362.47,5.56,-93.6,362.47,0
1,0.09,-0.16,-0.14,0.18,-0.04,6.25,-93.6,-47.12,-54.89,362.47,5.56,-93.58,362.47,0
1,0.08,-0.14,-0.06,0.02,0.09,5.22,-93.8,-47.12,-54.89,362.47,5.55,-93.58,362.47,0
1.01,0.09,-0.16,-0.11,-0.01,-0.17,6.04,-93.7,-47.13,-54.89,362.46,5.55,-93.59,362.46,0
1,0.08,-0.15,-0.02,-0.15,0.12,5.45,-93.83,-47.13,-54.91,362.47,5.55,-93.6,362.47,0
1,0.08,-0.14,-0.03,0.03,-0.07,5.26,-93.56,-47.14,-54.9,362.46,5.54,-93.6,362.46,0
1,0.09,-0.15,0.06,-0.01,0.15,6.15,-93.67,-47.13,-54.9,362.48,5.56,-93.6,362.48,0
1,0.08,-0.14,0.04,0.02,-0.16,5.21,-93.63,-47.13,-54.9,362.46,5.55,-93.6,362.46,0
1.01,0.09,-0.15,-0.03,0.12,-0.17,5.93,-93.35,-47.13,-54.89,362.44,5.56,-93.59,362.44,0
0.97,0.08,-0.14,-0.05,0.11,0.02,5.2,-93.66,-47.14,-54.88,362.45,5.55,-93.58,362.45,0
1.03,0.1,-0.14,-0.08,-0.12,-0.08,6.37,-92.45,-47.14,-54.89,362.44,5.55,-93.57,362.44,0
1.02,0.09,-0.14,0.23,-0.03,0.18,5.62,-92.82,-47.12,-54.89,362.46,5.58,-93.55,362.46,0
1.01,0.09,-0.14,-0.03,0.02,-0.24,5.72,-93.12,-47.12,-54.89,362.43,5.58,-93.54,362.43,0
1,0.09,-0.15,-0.03,0.05,0.06,5.87,-93.72,-47.13,-54.89,362.44,5.58,-93.54,362.44,0
1,0.09,-0.15,0,-0.14,0.02,5.88,-93.49,-47.13,-54.9,362.44,5.59,-93.55,362.44,0
1,0.09,-0.16,0.07,-0.03,0.06,6.08,-93.79,-47.12,-54.9,362.45,5.6,-93.56,362.45,0
1,0.09,-0.15,0.01,-0.12,-0.04,5.78,-93.36,-47.13,-54.93,362.46,5.59,-93.58,362.46,0
1,0.08,-0.15,0.04,-0.06,0.02,5.58,-93.88,-47.13,-54.93,362.46,5.59,-93.59,362.46,0
1,0.09,-0.15,0.1,0.06,0.16,5.85,-93.41,-47.12,-54.93,362.48,5.61,-93.58,362.48,0
1,0.08,-0.15,0.03,0.15,-0.14,5.46,-93.6,-47.11,-54.91,362.47,5.61,-93.57,362.47,0
1,0.09,-0.15,-0.09,0.02,-0.07,6.27,-93.12,-47.12,-54.91,362.46,5.61,-93.56,362.46,0
1,0.09,-0.14,-0.02,0.03,-0.04,6.09,-92.92,-47.12,-54.91,362.46,5.62,-93.54,362.46,0
1,0.08,-0.15,0,-0.2,-0.05,5.63,-93.5,-47.13,-54.93,362.45,5.62,-93.56,362.45,0
1.01,0.08,-0.14,0.06,-0.2,0.21,5.48,-93.43,-47.12,-54.95,362.47,5.62,-93.58,362.47,0
1,0.09,-0.15,0.04,-0.03,-0.13,5.92,-93.69,-47.12,-54.95,362.46,5.63,-93.58,362.46,0
1,0.09,-0.14,-0.14,0.12,-0.04,5.92,-93.08,-47.13,-54.94,362.45,5.63,-93.56,362.45,0
1,0.09,-0.14,-0.08,0.15,0.16,5.71,-93.07,-47.14,-54.92,362.47,5.62,-93.54,362.47,0
1,0.09,-0.15,-0.08,-0.01,0.1,5.78,-93.31,-47.14,-54.92,362.48,5.62,-93.53,362.48,0
1,0.08,-0.15,0.17,-0.06,-0.11,5.33,-93.88,-47.13,-54.93,362.47,5.63,-93.55,362.47,0
1,0.09,-0.15,0.17,0.08,-0.13,5.78,-93.5,-47.11,-54.92,362.46,5.64,-93.54,362.46,0
1,0.09,-0.15,0.12,-0.15,0.1,5.77,-93.37,-47.1,-54.94,362.47,5.66,-93.55,362.47,0
1.01,0.09,-0.15,-0.03,0.2,-0.05,5.81,-93.24,-47.1,-54.92,362.46,5.66,-93.52,362.46,0
1,0.09,-0.15,-0.02,0.02,0.07,6.14,-93.23,-47.11,-54.92,362.47,5.67,-93.52,362.47,0
1,0.09,-0.14,0.04,-0.11,-0.14,5.65,-93.18,-47.1,-54.93,362.45,5.67,-93.52,362.45,0
1,0.09,-0.15,-0.09,-0.18,-0.02,5.82,-93.47,-47.11,-54.94,362.45,5.66,-93.53,362.45,0
1,0.09,-0.15,0.06,-0.03,-0.05,5.81,-93.5,-47.1,-54.95,362.45,5.67,-93.54,362.45,0
1,0.09,-0.15,-0.11,-0.11,0.01,5.96,-93.45,-47.11,-54.96,362.45,5.67,-93.54,362.45,0
0.99,0.09,-0.14,-0.02,-0.11,-0.14,5.83,-93.37,-47.12,-54.97,362.43,5.67,-93.55,362.43,0
1.01,0.08,-0.15,0.24,-0.03,-0.01,5.54,-93.65,-47.09,-54.97,362.43,5.69,-93.56,362.43,0
1,0.09,-0.14,0.01,0.12,0.04,5.94,-92.97,-47.09,-54.96,362.44,5.7,-93.53,362.44,0
1,0.09,-0.14,-0.02,0.06,-0.13,6.09,-92.71,-47.09,-54.95,362.43,5.7,-93.51,362.43,0
1,0.08,-0.14,-0.14,0.17,-0.07,5.51,-93.13,-47.11,-54.94,362.42,5.69,-93.49,362.42,0
1,0.09,-0.15,-0.05,0.09,0.13,5.85,-93.7,-46.98,-54.99,362.1,5.8,-93.36,362.1,0
1,0.09,-0.15,0.12,0.23,-0.02,5.91,-93.57,-46.97,-54.97,362.1,5.82,-93.34,362.1,0
1,0.08,-0.15,0.12,0.15,-0.07,5.56,-93.72,-46.96,-54.95,362.1,5.82,-93.34,362.1,0
1,0.08,-0.14,-0.03,-0.06,0.02,5.51,-93.31,-46.96,-54.96,362.1,5.81,-93.34,362.1,0
1,0.08,-0.15,0,0.12,0.09,5.48,-93.59,-46.96,-54.95,362.11,5.81,-93.34,362.11,0
1.01,0.09,-0.15,-0.09,-0.09,-0.19,5.86,-93.6,-46.97,-54.95,362.09,5.8,-93.35,362.09,0
1,0.09,-0.16,0.04,-0.06,0.1,5.93,-94.04,-46.97,-54.96,362.1,5.8,-93.37,362.1,0
1,0.08,-0.14,0.03,0.15,-0.08,5.6,-93.33,-46.97,-54.95,362.09,5.8,-93.35,362.09,0
1.01,0.08,-0.14,-0.09,0.02,-0.07,5.57,-93.26,-46.98,-54.94,362.08,5.79,-93.35,362.08,0
1.01,0.09,-0.14,-0.11,-0.07,-0.1,5.7,-92.92,-46.99,-54.95,362.08,5.78,-93.35,362.08,0
1,0.09,-0.15,-0.08,0.25,-0.04,5.76,-93.45,-46.99,-54.93,362.07,5.77,-93.33,362.07,0
1,0.09,-0.14,-0.03,-0.11,-0.11,5.73,-93.03,-47,-54.94,362.06,5.77,-93.33,362.06,0
1,0.09,-0.15,-0.02,-0.03,0.13,6.06,-93.37,-47,-54.94,362.07,5.77,-93.34,362.07,0
1.01,0.08,-0.15,-0.02,0.12,0.13,5.35,-93.63,-47,-54.93,362.09,5.76,-93.33,362.09,0
1,0.09,-0.14,-0.03,-0.07,-0.1,5.85,-92.98,-47,-54.94,362.08,5.76,-93.33,362.08,0
1,0.09,-0.14,0.01,0.17,0.06,5.84,-93.01,-47,-54.92,362.08,5.76,-93.31,362.08,0
1,0.09,-0.13,0.1,-0.18,-0.05,5.89,-92.35,-46.99,-54.94,362.08,5.77,-93.3,362.08,0
1.01,0.1,-0.16,0,0.18,-0.08,6.51,-93.74,-46.99,-54.92,362.07,5.79,-93.3,362.07,0
1,0.07,-0.14,0.14,0.03,0.04,4.91,-93.5,-46.98,-54.92,362.07,5.78,-93.3,362.07,0
1.01,0.09,-0.16,-0.09,-0.17,-0.13,5.79,-94,-46.99,-54.93,362.06,5.78,-93.33,362.06,0
1.01,0.08,-0.15,-0.03,0.05,0.1,5.08,-94.39,-46.99,-54.93,362.07,5.76,-93.34,362.07,0
1,0.08,-0.15,0.07,0.09,-0.28,5.15,-94.16,-46.98,-54.92,362.05,5.75,-93.35,362.05,0
1,0.08,-0.16,-0.19,0.15,-0.07,5.73,-94.54,-47,-54.9,362.04,5.74,-93.36,362.04,0
1,0.07,-0.15,-0.11,0.03,-0.07,4.88,-94.13,-47.01,-54.9,362.03,5.71,-93.37,362.03,0
1.04,0.14,-0.19,1.02,1.73,0.74,9.22,-92.81,-46.85,-54.71,362.06,6.14,-93.18,362.06,0
1,0.06,-0.1,-0.89,0.17,0.25,3.63,-92.22,-46.94,-54.69,362.09,6,-93.15,362.09,0
0.98,0.11,-0.13,0.46,-0.38,-0.28,7.32,-91.25,-46.89,-54.73,362.06,6.07,-93.15,362.06,0
1.03,0.13,-0.15,-0.11,0.12,0.07,8.25,-91.3,-46.9,-54.72,362.07,6.11,-93.1,362.07,0
1,0.07,-0.1,0.18,0.08,-0.02,4.56,-91.84,-46.89,-54.71,362.06,6.09,-93.06,362.06,0
1,0.13,-0.16,-0.19,-0.26,-0.13,8.5,-91.79,-46.9,-54.73,362.05,6.12,-93.06,362.05,0
0.99,0.09,-0.12,0.24,0.29,0.45,5.75,-92.07,-46.88,-54.71,362.1,6.14,-93.02,362.1,0
1,0.08,-0.14,-0.28,-0.17,-0.3,5.45,-93.17,-46.91,-54.72,362.07,6.1,-93.03,362.07,0
1.01,0.1,-0.15,0.12,0.43,0.31,7,-92.79,-46.89,-54.68,362.1,6.13,-92.99,362.1,0
0.99,0.06,-0.13,-0.06,-0.09,-0.04,3.83,-94.37,-46.9,-54.69,362.1,6.08,-93.02,362.1,0
1.01,0.1,-0.17,-0.09,0.18,0.1,6.86,-93.72,-46.91,-54.67,362.11,6.08,-93.02,362.11,0
0.99,0.07,-0.15,-0.03,0.06,0.18,4.53,-94.62,-46.91,-54.67,362.12,6.05,-93.05,362.12,0
1,0.08,-0.15,0,-0.03,-0.16,5.47,-93.9,-46.91,-54.67,362.11,6.04,-93.07,362.11,0
1.01,0.07,-0.16,0.18,0.09,0.24,4.92,-94.98,-46.9,-54.66,362.13,6.03,-93.1,362.13,0
1,0.08,-0.15,0.06,-0.17,0.04,5.12,-94.02,-46.89,-54.67,362.13,6.02,-93.13,362.13,0
1.01,0.09,-0.16,0.12,-0.09,0.07,6.27,-93.52,-46.88,-54.68,362.14,6.04,-93.15,362.14,0
1,0.07,-0.13,-0.05,0.09,-0.01,4.91,-93.39,-46.88,-54.67,362.14,6.01,-93.14,362.14,0
1,0.1,-0.15,-0.05,0.09,-0.01,6.41,-93.07,-46.89,-54.67,362.14,6.01,-93.13,362.14,0
1,0.09,-0.14,0.06,0.02,0.04,5.75,-93.06,-46.88,-54.66,362.14,6.01,-93.13,362.14,0
1,0.09,-0.14,-0.23,-0.24,0.02,5.92,-93.07,-46.9,-54.69,362.15,5.99,-93.15,362.15,0
1,0.1,-0.14,-0.02,0.12,0.15,6.43,-92.15,-46.91,-54.67,362.16,6,-93.12,362.16,0
1,0.09,-0.14,0.04,-0.11,0.04,6.19,-92.8,-46.9,-54.68,362.16,6.01,-93.12,362.16,0
1.01,0.1,-0.15,-0.03,0.06,-0.08,6.58,-92.9,-46.9,-54.68,362.16,6.01,-93.11,362.16,0
0.99,0.08,-0.14,-0.06,0,-0.04,5.57,-92.97,-46.91,-54.68,362.15,6,-93.11,362.15,0
1,0.09,-0.14,-0.14,-0.41,0.12,5.99,-93.11,-46.92,-54.74,362.14,6.01,-93.18,362.14,0
1,0.08,-0.14,0.01,-0.18,-0.14,5.42,-93.64,-46.91,-54.76,362.12,6,-93.21,362.12,0
1.01,0.09,-0.16,0.01,0.15,-0.04,5.84,-93.98,-46.91,-54.75,362.12,5.99,-93.21,362.12,0
1.01,0.08,-0.14,-0.02,0.17,-0.04,5.33,-93.38,-46.91,-54.73,362.12,5.98,-93.2,362.12,0
1,0.09,-0.16,0.1,-0.07,-0.04,5.83,-93.95,-46.9,-54.74,362.11,5.99,-93.22,362.11,0
1,0.09,-0.15,-0.11,0.29,0.09,6.19,-93.48,-46.92,-54.71,362.12,5.98,-93.2,362.12,0
1,0.08,-0.15,0.01,-0.09,-0.31,5.55,-93.73,-46.91,-54.72,362.09,5.97,-93.22,362.09,0
1,0.09,-0.14,0.09,0.05,0.07,5.74,-93.38,-46.91,-54.71,362.1,5.98,-93.22,362.1,0
1,0.09,-0.15,0.12,0.06,-0.07,6.11,-93.36,-46.89,-54.71,362.09,5.99,-93.21,362.09,0
1,0.09,-0.15,0.15,-0.17,-0.2,6.26,-92.91,-46.88,-54.72,362.07,6.01,-93.22,362.07,0
1,0.08,-0.14,0.06,-0.46,-0.11,5.62,-93.06,-46.87,-54.77,362.06,6.01,-93.26,362.06,0
1.01,0.06,-0.17,28.91,-0.46,2.1,4.44,-96.15,-44.13,-54.81,362.26,8.67,-93.36,362.26,0
1.01,0.07,-0.17,4.17,0.31,0.28,4.97,-95.24,-43.73,-54.78,362.29,8.99,-93.37,362.29,0
