accx,accy,accz,gyrox,gyro y,gyro z,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,angle x,angle y,angle z
-0.05,-1,-0.1,3.76,-2.54,1.87,-92.62,3.44,13.32,340.17,2410.8,-52.02,92.68,2410.8
-0.05,-1.01,-0.13,3.5,-2.13,0.84,-94.5,3.01,13.66,339.97,2410.88,-52.53,90.69,2410.88
-0.04,-1,-0.11,3.19,-0.9,0.3,-94.04,2.62,13.98,339.88,2410.91,-53.05,88.84,2410.91
-0.04,-1.01,-0.11,3.06,-5.03,4.84,-93.87,2.78,14.28,339.38,2411.39,-53.57,86.63,2411.39
-0.05,-1,-0.11,2.7,-3.48,3.22,-93.16,3.52,14.54,339.04,2411.7,-54.11,84.64,2411.7
-0.06,-1,-0.11,6.38,-10.27,4.33,-92.78,3.85,15.17,338.03,2412.13,-54.26,82.02,2412.13
-0.05,-1,-0.12,4.09,-9.08,2.81,-94.07,3,15.58,337.13,2412.41,-54.66,79.56,2412.41
-0.06,-1,-0.11,4.69,-6.33,-1.04,-92.62,3.83,16.04,336.51,2412.31,-54.97,77.44,2412.31
-0.04,-0.99,-0.09,3.94,-5.77,3.72,-93.16,2.58,16.43,335.93,2412.68,-55.35,75.38,2412.68
-0.06,-1,-0.12,1.21,-6.83,4.44,-93.16,3.89,16.55,335.26,2413.11,-55.99,73.29,2413.11
-0.06,-1.01,-0.11,2.31,-7.32,-0.74,-92.99,3.53,16.78,334.54,2413.04,-56.5,71.19,2413.04
-0.03,-1.01,-0.09,0.26,-8.56,0.67,-93.37,1.79,16.8,333.68,2413.11,-57.22,68.96,2413.11
-0.05,-1,-0.1,3.06,-5.25,0.87,-92.75,3.21,17.1,333.16,2413.19,-57.63,67.14,2413.19
-0.04,-1,-0.11,2.48,-6.28,2.44,-94.16,2.45,17.35,332.54,2413.44,-58.12,65.24,2413.44
-0.05,-1.01,-0.12,3.99,-8.51,0.23,-94.25,3.02,17.74,331.7,2413.46,-58.46,63.17,2413.46
-0.06,-1,-0.1,2.16,-6.9,3.9,-92.43,3.61,17.96,331.02,2413.84,-58.93,61.31,2413.84
-0.05,-1.01,-0.12,1.82,-9.11,3.95,-93.76,3.43,18.14,330.12,2414.23,-59.45,59.27,2414.23
-0.04,-1.01,-0.12,3.53,-6.47,1.63,-94.42,2.56,18.49,329.48,2414.39,-59.8,57.51,2414.39
-0.05,-1.01,-0.11,4.92,-6.91,2.29,-93.44,3.13,18.97,328.8,2414.62,-60.01,55.75,2414.62
-0.05,-1.01,-0.11,3.25,-3.38,2.84,-93.32,3.06,19.29,328.47,2414.9,-60.36,54.37,2414.9
-0.06,-1,-0.1,1.76,-2.53,5.07,-92.3,3.72,19.47,328.21,2415.4,-60.82,53.11,2415.4
-0.06,-1.01,-0.12,3.65,-5.87,1.37,-93.45,3.54,19.83,327.63,2415.54,-61.12,51.55,2415.54
-0.05,-1,-0.11,4.99,-9.41,2.62,-93.6,2.95,20.32,326.71,2415.79,-61.29,49.68,2415.79
-0.05,-1,-0.11,4.26,-6.07,0.26,-93.51,3.36,20.74,326.1,2415.82,-61.52,48.15,2415.82
-0.05,-1,-0.12,-0.2,-8.87,0.78,-93.9,3.2,20.72,325.23,2415.89,-62.19,46.4,2415.89
-0.05,-1.01,-0.11,4.57,-3.96,4.18,-93.65,3.05,21.18,324.84,2416.31,-62.37,45.15,2416.31
-0.06,-0.99,-0.11,0.32,-7.74,2.91,-93.21,3.71,21.21,324.08,2416.6,-62.95,43.58,2416.6
-0.05,-1,-0.12,2.57,-4.74,1,-93.62,3.47,21.47,323.61,2416.7,-63.31,42.31,2416.7
-0.05,-1.01,-0.1,1.54,-5.31,-1.48,-92.81,2.99,21.62,323.09,2416.55,-63.76,41.01,2416.55
-0.05,-1,-0.11,3.25,-3.19,2.55,-93.11,3.51,21.95,322.77,2416.81,-64.02,39.95,2416.81
-0.06,-0.99,-0.11,2.58,-5.41,3.08,-92.95,3.74,22.2,322.23,2417.11,-64.35,38.7,2417.11
