accX,accY,accZ,gyroX,gyroY,gyroZ,accangleX,accAngleY,gyroangleX,gyroAngleY,gyroAngleZ,angleX,angleY,angleZ
-0.39,0.14,-0.91,1.29,-2.88,-0.71,164.63,153.23,479.36,-34,128.35,231.21,56.28,128.35
-0.39,0.15,-0.92,-3.38,-10.33,0.51,164.37,153.19,479.03,-35.04,128.4,229.54,57.21,128.4
-0.39,0.15,-0.91,-3.96,-9.49,2.5,163.55,152.69,478.63,-36,128.65,227.83,58.18,128.65
-0.4,0.15,-0.93,1.38,-2.69,0.08,164.58,153.16,478.76,-36.26,128.66,226.7,59.81,128.66
-0.39,0.15,-0.92,1.86,-1.46,1.24,164.12,152.83,478.95,-36.41,128.78,225.63,61.53,128.78
-0.41,0.16,-0.93,-0.28,-5.12,-2.7,163.04,152.08,478.92,-36.92,128.51,224.35,62.84,128.51
-0.39,0.15,-0.91,3.75,-1.03,-6.41,164.21,152.99,479.29,-37.02,127.87,223.51,64.54,127.87
-0.39,0.15,-0.91,1.89,-6.34,-2.79,164.42,153.01,479.48,-37.66,127.59,222.52,65.69,127.59
-0.39,0.15,-0.92,1.23,-6.45,-2.33,164.28,153,479.6,-38.3,127.36,221.47,66.81,127.36
-0.39,0.15,-0.91,-2.91,-2.1,0.14,164.22,153.11,479.31,-38.51,127.37,220.04,68.33,127.37
-0.41,0.15,-0.92,-1.87,-3.72,1.24,163.38,151.77,479.13,-38.88,127.5,218.73,69.63,127.5
-0.4,0.15,-0.92,-1.79,-3.11,1.24,164.42,152.8,478.95,-39.19,127.62,217.46,70.99,127.62
-0.4,0.14,-0.92,0.99,-1.37,-3.17,164.98,153.1,479.04,-39.33,127.31,216.51,72.5,127.31
-0.4,0.14,-0.91,5.05,-1.95,-5.69,164.27,152.42,479.55,-39.52,126.74,215.96,73.91,126.74
-0.37,0.13,-0.92,2.36,0.59,-1.66,166.25,154.74,479.78,-39.46,126.57,215.2,75.58,126.57
-0.38,0.14,-0.91,-0.19,-5.52,0.27,165.24,153.63,479.77,-40.01,126.6,214.18,76.61,126.6
-0.39,0.14,-0.91,2.95,-2.39,-0.38,165.35,153.44,480.06,-40.25,126.56,213.49,77.91,126.56
-0.4,0.14,-0.91,0.88,-6.68,-1.38,165.19,153.02,480.15,-40.92,126.42,212.61,78.75,126.42
-0.41,0.13,-0.91,0.04,-6.5,-0.99,165.11,152.08,485.18,-52.02,120.37,194.25,103.5,120.37
-0.41,0.14,-0.92,0.08,-1.01,-3,164.97,152.18,485.18,-52.12,120.07,193.67,104.37,120.07
-0.44,0.14,-0.9,1.76,0.36,0.77,163.93,150.48,485.36,-52.09,120.15,193.25,105.33,120.15
-0.4,0.12,-0.9,0.97,1.58,5.21,166.1,152.7,485.46,-51.93,120.66,192.8,106.43,120.66
-0.41,0.13,-0.93,-0.14,-6.88,0.19,165.84,153.06,485.44,-52.62,120.68,192.25,106.69,120.68
-0.41,0.14,-0.92,-0.4,-6.69,-3.11,165.09,152.49,485.4,-53.29,120.37,191.67,106.95,120.37
-0.41,0.14,-0.92,-2.82,-4.59,-0.86,164.85,151.99,485.12,-53.76,120.28,190.85,107.39,120.28
-0.4,0.14,-0.91,-3.17,-7.64,0.66,165.08,152.54,484.79,-54.54,120.35,190.02,107.53,120.35
