accx,accy,accz,gyro x,gyro y,gyro z,acc angle x,acc angle y,gyro angle x,gyro angle y,gyro angle z,angle x,angle y,angle z,out
0.69,0.7,-0.26,2.32,2.77,1.77,58.3,-57.64,-2.16,65.07,33.8,60.57,-61.08,33.8,1
0.65,0.68,-0.32,1.92,2.99,0.44,63.91,-60.84,-1.99,65.34,33.84,60.8,-60.81,33.84,1
0.66,0.68,-0.31,0.76,-6.92,-2.07,62.57,-60.31,-2.61,64.65,33.09,60.05,-61.69,33.09,1
0.65,0.68,-0.31,0.36,-2.2,0.86,63.58,-60.5,-2.58,64.44,33.17,60.16,-61.87,33.17,1
0.67,0.69,-0.28,0.4,1.12,1.83,61.16,-58.39,-2.54,64.55,33.34,60.21,-61.7,33.34,1
0.67,0.68,-0.3,1.8,2.97,3.27,61.47,-60.31,-2.37,64.82,33.64,60.4,-61.4,33.64,1
0.69,0.7,-0.26,2.32,2.77,1.77,58.3,-57.64,-2.16,65.07,33.8,60.57,-61.08,33.8,1
0.65,0.68,-0.32,1.92,2.99,0.44,63.91,-60.84,-1.99,65.34,33.84,60.8,-60.81,33.84,1
0.66,0.7,-0.27,-0.55,-1.52,1.53,60.99,-56.53,-2.04,65.2,33.98,60.76,-60.86,33.98,1
0.64,0.7,-0.28,0.82,-0.92,-1.25,62.39,-56.39,-1.96,65.12,33.86,60.87,-60.85,33.86,1
0.65,0.69,-0.3,-1.3,-0.36,0.69,62.65,-58.98,-2.08,65.09,33.93,60.78,-60.85,33.93,1
0.68,0.7,-0.29,-1.35,0.09,1.35,60.77,-58.65,-2.21,65.09,34.06,60.66,-60.79,34.06,1
0.66,0.67,-0.32,0.09,0.89,1.57,63.34,-61.4,-2.2,65.18,34.2,60.72,-60.73,34.2,1
0.67,0.69,-0.29,-2.47,-0.6,-0.23,61.21,-59.47,-2.43,65.12,34.18,60.51,-60.75,34.18,1
0.68,0.69,-0.3,2.81,-0.25,1.67,61.36,-60.22,-2.16,65.1,34.34,60.79,-60.77,34.34,1
0.65,0.69,-0.29,-0.26,-1.69,1.48,62.75,-58.77,-2.19,64.94,34.47,60.8,-60.88,34.47,1
0.62,0.69,-0.29,1.07,-1.17,2.23,64.02,-57.55,-2.09,64.83,34.68,60.96,-60.92,34.68,1
0.64,0.69,-0.3,-2.41,-1.18,-1.89,63.34,-58.63,-2.31,64.72,34.51,60.79,-60.98,34.51,1
0.66,0.69,-0.29,-0.15,-5.01,-2.52,61.6,-58.82,-2.33,64.25,34.27,60.79,-61.41,34.27,1
0.68,0.68,-0.31,-1.01,-3.27,-2.14,61.35,-61.4,-2.42,63.94,34.07,60.71,-61.71,34.07,1
