accx,accy,accz,gyro x,gyro y,gyro z,acc angle x,acc angle y,gyro angle x,gyro angle y,gyro angle z,angle x,angle y,angle z,out
0.68,0.68,-0.29,2.95,8.5,3.48,59.9,-60.19,-7.7,55.44,31.07,57.95,-65.82,31.07,1
0.64,0.69,-0.29,1.37,8.93,3.61,63.09,-58.56,-7.58,56.25,31.39,58.17,-64.88,31.39,1
0.65,0.69,-0.26,5.36,2.53,1.12,60.63,-56.87,-7.09,56.48,31.5,58.7,-64.5,31.5,1
0.65,0.69,-0.27,2.18,6.94,2.35,60.71,-57.33,-6.89,57.11,31.71,58.93,-63.73,31.71,1
0.62,0.67,-0.3,2.69,-2.78,2.06,64.96,-58.65,-6.65,56.86,31.9,59.3,-63.88,31.9,1
0.62,0.69,-0.29,-1.53,-3.73,-1.62,64.47,-56.97,-6.79,56.51,31.75,59.26,-64.08,31.75,1
0.64,0.68,-0.31,-3.22,-4.43,-1.74,63.93,-60.01,-7.09,56.09,31.59,59.06,-64.41,31.59,1
0.66,0.7,-0.27,-0.6,0.25,-1.42,60.68,-56.4,-7.15,56.12,31.45,59.04,-64.23,31.45,1
0.71,0.7,-0.31,-0.35,-4.37,0.4,60.12,-61.14,-7.18,55.71,31.49,59.02,-64.56,31.44,1
0.71,0.69,-0.29,2.46,3.41,1.74,58.5,-61.01,-6.95,56.03,31.65,59.24,-64.18,31.65,1
0.67,0.68,-0.3,2.58,6.82,0.95,61.24,-60.7,-6.71,56.66,31.74,59.51,-63.49,31.74,1
0.65,0.66,-0.31,0.43,6.64,-0.06,62.76,-61.61,-6.67,57.26,31.74,59.62,-62.87,31.74,1
0.63,0.67,-0.33,-4.66,-0.52,-4.15,65.93,-62.04,-7.1,57.21,31.35,59.32,-62.9,31.35,1
0.68,0.66,-0.31,-2.52,-1.52,-1.57,60.5,-62.44,-7.34,57.07,31.2,59.11,-63.03,31.2,1
0.68,0.68,-0.31,-2.87,1.98,0.37,61.78,-61.09,-7.61,57.26,31.24,58.9,-62.81,31.24,1
0.64,0.69,-0.29,-0.76,-2.81,-0.2,63.48,-58.06,-7.69,56.99,31.22,58.92,-62.97,31.22,1
0.65,0.69,-0.29,1.46,3.75,0.99,62.41,-58.75,-7.55,57.35,31.31,59.12,-62.54,31.31,1
0.65,0.68,-0.29,1.77,1.35,-0.17,61.98,-58.6,-7.39,57.47,31.3,59.34,-62.34,31.3,1
0.66,0.69,-0.3,0.43,-3.3,0.15,62.72,-59.7,-7.35,57.16,31.31,59.45,-62.59,31.31,1
0.69,0.68,-0.3,-0.47,-0.02,-1.31,60.78,-61.22,-7.39,57.16,31.19,59.43,-62.56,31.19,1
0.67,0.68,-0.31,-0.69,-1.65,0.32,61.68,-61.01,-7.46,57,31.22,59.41,-62.69,31.22,1
0.68,0.68,-0.32,3.57,-0.51,2.41,61.79,-62.39,-7.12,56.95,31.45,59.78,-62.73,31.45,1
0.69,0.64,-0.34,-1.45,-2.3,-0.24,61.72,-66.62,-7.26,56.74,31.43,59.69,-63.01,31.43,1
0.65,0.68,-0.29,0.78,3,3.32,62.09,-59.54,-7.18,57.03,31.74,59.81,-62.66,31.74,1
0.62,0.68,-0.29,-0.41,-1.87,0.99,64.28,-57.74,-7.22,56.86,31.83,59.86,-62.73,31.83,1
0.64,0.69,-0.29,0.09,-7.62,-1.17,63.01,-57.65,-7.21,56.13,31.72,59.93,-63.34,31.72,1
0.7,0.65,-0.34,-0.44,0.47,-1.6,61.02,-66.54,-7.25,56.18,31.57,59.92,-63.36,31.57,1
0.72,0.67,-0.32,3.02,6.15,0.9,59.39,-64.38,-6.97,56.75,31.66,60.18,-62.82,31.66,1
0.66,0.68,-0.32,0.27,4.83,1.73,63.71,-61.67,-6.95,57.19,31.81,60.28,-62.37,31.81,1
0.66,0.68,-0.3,-1.83,1.28,-0.96,62,-60.45,-7.12,57.31,31.73,60.15,-62.21,31.73,1
0.66,0.68,-0.28,-0.81,4.18,0.22,61.23,-58.85,-7.56,58.04,31.73,59.86,-61.26,31.73,1
0.66,0.67,-0.3,-1.39,0.41,-2.17,61.57,-60.36,-7.69,58.08,31.53,59.76,-61.21,31.53,1
0.69,0.67,-0.31,1.77,-2.95,-0.17,60.63,-62.06,-7.53,57.8,31.51,59.94,-61.49,31.51,1
0.68,0.69,-0.29,0.82,3.66,0,60.79,-59.94,-7.45,58.15,31.51,60.03,-61.13,31.51,1
0.65,0.67,-0.31,1.94,4.24,3.18,63.36,-60.99,-7.28,58.53,31.8,60.27,-60.74,31.8,1
0.64,0.66,-0.31,0.59,3.17,-0.03,63.49,-60.84,-7.22,58.82,31.8,60.39,-60.46,31.8,1
0.63,0.67,-0.3,0.73,2.13,-2.62,63.32,-59.15,-7.15,59.02,31.56,60.52,-60.24,31.56,1
0.67,0.67,-0.32,-2.31,-0.43,-3.01,62.69,-62.39,-7.36,58.98,31.28,60.35,-60.32,31.28,1
0.7,0.68,-0.32,-0.76,-0.51,-0.88,61,-62.6,-7.44,58.93,31.2,60.29,-60.41,31.2,1
0.69,0.68,-0.33,-2.8,-0.92,-0.58,62.13,-63.14,-7.7,58.85,31.14,60.07,-60.55,31.14,1
0.68,0.68,-0.32,-1.82,-5.76,-0.41,62.21,-61.72,-7.87,58.3,31.1,59.95,-61.11,31.1,1
0.68,0.68,-0.33,-0.17,-3.85,-1.16,62.45,-63.24,-7.89,57.93,30.99,59.98,-61.52,30.99,1
0.71,0.66,-0.32,0.17,0.89,0.02,59.18,-64.37,-7.87,58.02,30.99,59.98,-61.49,30.99,1
0.69,0.67,-0.32,4.33,3.19,2.55,61.65,-62.78,-7.47,58.31,31.23,60.41,-61.23,31.23,1
0.65,0.68,-0.29,0.91,4.62,3.21,62.47,-58.99,-7.39,58.73,31.52,60.53,-60.77,31.52,1
0.63,0.68,-0.31,-1.7,-1.59,-0.67,64.91,-59.57,-7.54,58.59,31.46,60.46,-60.89,31.46,1
0.68,0.67,-0.29,-0.49,-1.56,-1.8,59.85,-60.86,-7.59,58.44,31.29,60.41,-61.04,31.29,1
0.69,0.66,-0.31,1.25,1.09,0.49,60.39,-63.05,-7.47,58.54,31.33,60.52,-60.98,31.33,1
0.69,0.69,-0.28,0.7,5.54,3.77,59.36,-59.44,-7.41,59.05,31.68,60.56,-60.45,31.68,1
0.67,0.66,-0.3,4.62,0.35,0.14,61.03,-61.18,-6.99,59.08,31.69,60.98,-60.43,31.69,1
0.64,0.67,-0.28,1.36,1.6,2.44,62.17,-58.82,-6.87,59.23,31.92,61.13,-60.25,31.92,1
0.64,0.66,-0.33,1.27,-0.83,-2.15,64.43,-62.6,-6.75,59.15,31.72,61.31,-60.38,31.72,1
0.67,0.66,-0.32,-0.09,-2.54,-2.06,62.13,-63.16,-6.76,58.91,31.52,61.32,-60.67,31.52,1
0.68,0.67,-0.33,-2.25,-1.76,-0.33,62,-63.69,-6.97,58.75,31.49,61.12,-60.89,31.49,1
0.66,0.66,-0.33,-2.2,-2.62,0.48,63.08,-63.01,-7.18,58.5,31.54,60.96,-61.17,31.54,1
0.65,0.66,-0.33,0.58,0.59,-0.58,64.28,-63.31,-7.12,58.55,31.48,61.08,-61.16,31.48,1
0.69,0.68,-0.31,-3.1,-1.87,-1.52,61.04,-61.68,-7.41,58.38,31.34,60.79,-61.34,31.34,1
0.69,0.66,-0.34,0.32,-2.45,-0.56,61.69,-65.25,-7.38,58.15,31.29,60.84,-61.65,31.29,1
0.69,0.68,-0.33,-3.47,-1.17,0.34,62.11,-62.58,-7.71,58.04,31.32,60.55,-61.77,31.32,1
0.68,0.68,-0.3,0.96,3.4,2.51,60.8,-60.8,-7.62,58.35,31.55,60.64,-61.44,31.55,1
0.68,0.66,-0.34,-0.76,4.86,0.52,62.9,-64.3,-7.69,58.8,31.6,60.62,-61.07,31.6,1
0.7,0.66,-0.32,-0.6,3.66,-0.84,60.38,-64.34,-7.74,59.14,31.52,60.56,-60.8,31.52,1
0.64,0.67,-0.32,2.7,-0.42,3.25,64.9,-61.15,-7.49,59.1,31.83,60.89,-60.85,31.83,1
0.63,0.67,-0.32,1.43,0.5,3.51,65.23,-60.93,-7.36,59.14,32.15,61.11,-60.8,32.15,1
0.6,0.69,-0.29,2.2,-0.07,1.45,65.74,-56.51,-7.16,59.14,32.28,61.4,-60.72,32.28,1
0.64,0.67,-0.3,0.72,-7.9,-0.91,62.84,-59.95,-7.09,58.41,32.2,61.49,-61.42,32.2,1
0.68,0.7,-0.27,0.18,-9.06,0.09,59.56,-58.17,-7.07,57.56,32.21,61.47,-62.19,32.21,1
0.65,0.67,-0.31,5.86,-0.19,2.98,63.33,-61.27,-6.53,57.54,32.48,62.04,-62.19,32.48,1
0.66,0.67,-0.31,4.38,3.73,1.94,63.05,-61.41,-6.13,57.89,32.66,62.46,-61.83,32.66,1
0.66,0.67,-0.32,2,3.09,0.7,62.99,-62.06,-5.94,58.17,32.73,62.64,-61.56,32.73,1
0.71,0.65,-0.33,-0.11,4.99,0.17,59.45,-65.4,-5.95,58.62,32.74,62.57,-61.19,32.74,1
0.7,0.68,-0.3,0.69,2.36,0.06,59.97,-61.53,-5.89,58.84,32.75,62.58,-60.98,32.75,1
0.67,0.68,-0.34,-0.4,1.2,2.57,64.22,-63.08,-5.93,58.95,32.98,62.58,-60.92,32.98,1
0.7,0.66,-0.3,0.52,2.6,-0.09,58.9,-62.79,-5.88,59.19,32.97,62.55,-60.72,32.9,1
0.64,0.66,-0.32,-1.82,-2.27,1.53,64.35,-61.66,-6.06,58.15,33.81,62.38,-61.79,33.81,1
0.65,0.67,-0.32,3.97,-1.49,1.67,64.33,-61.82,-5.7,58.01,33.97,62.78,-61.92,33.97,1
0.71,0.65,-0.32,0.64,4.62,3.64,59.08,-64.88,-5.64,58.44,34.3,62.76,-61.56,34.3,1
0.66,0.68,-0.3,3.89,4.13,2,62.14,-60.21,-5.28,58.82,34.49,63.1,-61.16,34.49,1
0.67,0.66,-0.32,-4.54,-0.27,0.06,61.81,-62.83,-5.69,58.8,34.49,62.67,-61.22,34.49,1
0.7,0.66,-0.31,1.33,-2.01,-0.14,59.31,-63.17,-5.57,58.61,34.48,62.72,-61.44,34.48,1
0.68,0.68,-0.3,1.78,-2.94,0.23,60.51,-60.36,-5.4,58.34,34.5,62.84,-61.69,34.5,1
0.71,0.66,-0.28,0.38,-4.04,0.14,56.98,-61.9,-5.37,57.96,34.52,62.76,-62.06,34.52,1
0.67,0.68,-0.3,-0.09,-2.86,-0.59,61.66,-60.68,-5.37,57.7,34.46,62.73,-62.29,34.46,1
0.68,0.67,-0.29,-1.59,-0.78,0.11,60.17,-61.05,-5.53,57.63,34.47,62.53,-62.34,34.47,1
0.68,0.65,-0.34,0.24,1.06,-0.96,62.44,-65.17,-5.5,57.73,34.38,62.55,-62.3,34.38,1
0.69,0.67,-0.34,-0.47,-3.82,0.57,62.17,-64.19,-5.55,57.37,34.44,62.5,-62.68,34.44,1
0.69,0.67,-0.3,0.32,-3.38,2.06,59.36,-61.8,-5.52,57.06,34.63,62.47,-62.97,34.63,1
0.68,0.67,-0.33,-2.2,0.8,0.22,62.2,-63.03,-5.72,57.13,34.65,62.26,-62.9,34.65,1
0.68,0.67,-0.32,0.98,-3.35,0.23,61.86,-62.7,-5.63,56.82,34.67,62.34,-63.2,34.67,1
0.66,0.67,-0.28,3.07,0.02,1.64,60.7,-59.26,-5.35,56.82,34.82,62.59,-63.12,34.82,1
0.66,0.66,-0.29,1.16,3.41,-0.82,61.33,-60.52,-5.24,57.13,34.75,62.67,-62.77,34.75,1
0.69,0.67,-0.3,0.11,4.01,0.19,59.95,-61.49,-5.23,57.5,34.76,62.62,-62.37,34.76,1
0.65,0.64,-0.34,1.66,-0.81,-0.61,63.63,-64.77,-5.08,57.43,34.71,62.79,-62.49,34.71,1
0.68,0.65,-0.31,0.67,0.59,-0.96,60.31,-63.28,-5.02,57.49,34.62,62.8,-62.46,34.62,1
0.69,0.66,-0.32,0.33,0.36,-1.3,61.01,-63.28,-4.99,57.52,34.5,62.8,-62.44,34.5,1
0.68,0.67,-0.34,-0.84,1.2,-0.06,62.5,-64.29,-5.06,57.63,34.49,62.71,-62.37,34.49,1
0.69,0.65,-0.32,1.28,-0.83,0.14,60.24,-63.88,-4.94,57.55,34.51,62.78,-62.48,34.51,1
0.69,0.67,-0.33,-0.47,-2.54,0.6,61.86,-64.16,-4.99,57.32,34.56,62.72,-62.74,34.56,1
0.7,0.66,-0.33,0.29,-0.11,-0.21,60.58,-64.7,-4.89,57.33,34.55,62.71,-62.83,34.55,1
0.71,0.66,-0.32,3.83,-0.42,1.86,59.97,-64.22,-4.53,57.29,34.73,63.01,-62.89,34.73,1
0.66,0.63,-0.34,-0.35,5.34,2.06,63.25,-66.18,-4.56,57.78,34.92,62.98,-62.47,34.92,1
0.68,0.65,-0.3,3.49,2.06,1.3,59.95,-63,-4.24,57.97,35.04,63.24,-62.3,35.04,1
0.67,0.68,-0.32,-0.11,4.28,-0.59,62.86,-61.56,-4.25,58.36,34.99,63.22,-61.9,34.99,1
0.67,0.67,-0.32,-4.63,0.73,-1.01,62.27,-61.92,-4.68,58.43,34.89,62.78,-61.84,34.89,1
0.69,0.67,-0.35,-1.85,-1.55,-3.01,62.54,-65.25,-4.86,58.28,34.61,62.6,-62.05,34.61,1
0.7,0.66,-0.33,-1.68,-2.36,0.17,60.87,-64.78,-5.02,58.06,34.62,62.41,-62.32,34.62,1
0.67,0.68,-0.33,3.28,-2.71,1.16,63.52,-62.54,-4.71,57.81,34.73,62.73,-62.57,34.73,1
0.68,0.67,-0.3,-0.63,1.98,-0.01,60.51,-61.66,-4.77,57.99,34.73,62.63,-62.38,34.73,1
0.71,0.67,-0.32,1.83,-0.72,-0.24,59.63,-63.58,-4.6,57.92,34.71,62.74,-62.47,34.71,1
0.7,0.65,-0.32,-0.22,3.26,-0.17,59.7,-64.2,-4.62,58.23,34.69,62.66,-62.2,34.69,1
0.68,0.67,-0.33,-0.02,0.36,0.7,62.7,-63.72,-4.62,58.26,34.76,62.66,-62.2,34.76,1
0.68,0.67,-0.31,-1.6,2.39,0.77,61.2,-62.52,-4.77,58.48,34.83,62.48,-61.99,34.83,1
0.68,0.65,-0.31,2.18,1.52,0.8,60.66,-63.32,-4.57,58.62,34.9,62.64,-61.88,34.9,1
0.65,0.67,-0.29,1.2,0.85,2.02,61.66,-59.82,-4.46,58.7,35.09,62.73,-61.76,35.09,1
0.63,0.66,-0.3,-0.28,1.02,0.52,63.48,-59.97,-4.48,58.79,35.14,62.72,-61.64,35.14,1
0.67,0.66,-0.31,-0.18,-3.09,-1.91,61.81,-62.39,-4.5,58.5,34.96,62.69,-61.94,34.96,1
0.66,0.68,-0.32,-4.17,-1.36,-0.61,63.33,-62.15,-4.89,58.37,34.9,62.31,-62.07,34.9,1
0.69,0.66,-0.32,-1.27,-0.86,-0.73,60.52,-63.66,-5.01,58.29,34.83,62.16,-62.18,34.83,1
0.69,0.65,-0.32,0,-2.31,0.4,60.25,-64.12,-5.01,58.07,34.87,62.12,-62.43,34.87,1
0.7,0.66,-0.35,1.19,-0.78,0.84,61.99,-65.84,-4.9,58,34.95,62.23,-62.57,34.95,1
0.68,0.67,-0.33,-0.34,-1.91,1.33,61.97,-63.53,-4.93,57.82,35.07,62.19,-62.77,35.07,1
0.69,0.66,-0.33,-1.53,-0.48,1.68,60.93,-64.26,-5.08,57.77,35.23,62.03,-62.84,35.23,1
0.68,0.68,-0.32,1.25,-0.65,-0.3,61.87,-62.32,-4.96,57.39,35.23,62.14,-63.23,35.23,1
0.69,0.66,-0.32,-0.55,0.93,-0.59,60.85,-63.35,-5.01,57.47,35.17,62.06,-63.15,35.17,1
0.69,0.65,-0.31,0.82,1.37,0.15,59.72,-63.69,-4.93,57.6,35.19,62.09,-63.03,35.19,1
0.71,0.64,-0.33,0.33,-0.92,1.07,59.57,-65.93,-4.9,57.52,35.29,62.07,-63.17,35.29,1
0.7,0.64,-0.34,1.94,3.19,0.7,60.58,-66.66,-4.72,57.81,35.35,62.22,-62.96,35.35,1
0.7,0.65,-0.33,0.65,2.31,1.68,60.08,-65.71,-4.66,58.02,35.51,62.23,-62.8,35.51,1
0.7,0.67,-0.32,-0.09,-0.8,1.02,59.98,-63.36,-4.67,57.95,35.6,62.18,-62.88,35.6,1
0.69,0.65,-0.32,0.99,-2.43,-0.53,60.33,-65.01,-4.58,57.72,35.55,62.23,-63.15,35.55,1
0.72,0.65,-0.32,1.14,2.1,0.8,58.42,-64.94,-4.47,57.92,35.62,62.26,-62.99,35.62,1
0.71,0.68,-0.29,3.36,0.44,0.93,58.29,-61.22,-4.16,57.96,35.71,62.49,-62.92,35.71,1
0.68,0.68,-0.33,1.43,4.07,-0.07,62.44,-62.72,-4.03,58.33,35.7,62.61,-62.55,35.7,1
0.69,0.68,-0.31,-1.8,2.94,0.92,60.7,-61.92,-4.2,58.6,35.79,62.41,-62.27,35.79,1
0.69,0.67,-0.32,0.53,0.76,-1.07,61.21,-63.53,-4.15,58.67,35.69,62.44,-62.23,35.69,1
0.68,0.65,-0.33,-0.92,-1.61,0.02,61.39,-64.76,-4.23,58.52,35.69,62.33,-62.42,35.69,1
0.7,0.66,-0.29,2.21,0.97,0.34,58.39,-62.57,-4.03,58.61,35.72,62.46,-62.34,35.72,1
0.68,0.66,-0.33,2.43,-1.04,1.88,61.73,-64.45,-3.8,58.52,35.9,62.66,-62.48,35.9,1
0.67,0.68,-0.3,1.33,-2.22,2.15,61.52,-60.38,-3.68,58.31,36.09,62.76,-62.63,36.09,1
0.67,0.65,-0.31,-0.81,0.74,-1.71,61.06,-63.49,-3.75,58.38,35.94,62.65,-62.58,35.94,1
0.69,0.64,-0.33,-0.23,-0.86,-0.79,60.38,-65.59,-3.77,58.3,35.86,62.59,-62.72,35.86,1
0.69,0.66,-0.33,-1.88,0.93,-0.91,61.27,-64.09,-3.95,58.39,35.78,62.39,-62.66,35.78,1
0.72,0.66,-0.31,1.54,-0.49,0.34,58.68,-64,-3.8,58.34,35.81,62.46,-62.74,35.81,1
0.69,0.67,-0.32,0.67,3.72,0.52,60.78,-63,-3.74,58.68,35.86,62.48,-62.41,35.86,1
0.69,0.67,-0.34,1.28,-3.03,0.57,62.35,-64.36,-3.63,58.41,35.91,62.59,-62.72,35.91,1
0.7,0.65,-0.33,-0.46,0.82,0.12,60.26,-65.09,-3.67,58.48,35.92,62.51,-62.69,35.92,1
0.66,0.68,-0.29,-1.45,-1.99,-2.2,61.54,-59.5,-4.15,58.42,35.48,61.69,-62.82,35.48,1
0.69,0.66,-0.33,-1.88,-4.19,-1.92,61.65,-64.47,-4.33,58.03,35.3,61.51,-63.25,35.3,1
0.71,0.66,-0.31,-0.8,0.74,-0.81,59.2,-64.1,-4.41,58.1,35.22,61.39,-63.19,35.22,1
0.7,0.67,-0.31,0.76,0.1,1.25,59.86,-62.68,-4.33,58.1,35.34,61.43,-63.17,35.34,1
0.69,0.65,-0.33,3.62,-2.42,3.1,60.85,-65.46,-4,57.88,35.62,61.75,-63.44,35.62,1
0.68,0.64,-0.34,-0.98,3.32,1.25,61.81,-65.9,-4.09,58.19,35.74,61.66,-63.19,35.74,1
0.68,0.65,-0.3,1.89,0.59,2.2,59.65,-62.94,-3.92,58.24,35.94,61.79,-63.13,35.94,1
0.68,0.66,-0.29,-0.06,2.88,-2.12,59.21,-61.34,-3.92,58.5,35.75,61.73,-62.84,35.75,1
0.65,0.65,-0.33,2.24,0.19,-0.85,63.67,-63.21,-3.71,58.52,35.67,61.98,-62.83,35.67,1
0.68,0.69,-0.29,-3.36,3.84,1.96,60.16,-59.22,-4.03,58.88,35.85,61.64,-62.4,35.85,1
0.65,0.64,-0.36,1.51,-5.53,-1.23,65.03,-66.84,-3.89,58.37,35.74,61.84,-63,35.74,1
0.7,0.65,-0.37,-10.38,1.38,10,63.03,-67.65,-4.86,58.5,36.68,60.91,-62.96,36.68,1
0.72,0.68,-0.29,-9.6,5.9,4.93,57.77,-61.25,-5.76,59.05,37.14,59.96,-62.38,37.14,1
0.7,0.63,-0.38,-4.23,8.73,3.22,63.5,-69.89,-6.15,59.85,37.44,59.65,-61.75,37.44,1
0.81,0.68,-0.29,-3.15,8.88,-4.38,52.58,-64.09,-6.45,60.68,37.03,59.22,-60.99,37.03,1
0.73,0.67,-0.28,-8.46,5.58,-3.71,55.93,-62.13,-7.24,61.2,36.68,58.38,-60.49,36.68,1
0.78,0.68,-0.29,-4.95,7.05,1.35,54.04,-63.92,-7.71,61.87,36.81,57.83,-59.91,36.81,1
0.75,0.65,-0.29,-8.78,2.76,-3.19,54.88,-64.62,-8.51,62.12,36.52,56.98,-59.76,36.52,1
0.72,0.68,-0.27,-3.57,11.03,-13.52,56.4,-59.85,-8.85,63.15,35.26,56.65,-58.76,35.26,1
0.76,0.7,-0.3,-11.05,-4.72,-7.28,56.67,-61.94,-9.91,62.69,34.56,55.61,-59.26,34.56,1
0.71,0.76,-0.21,-0.29,-21.5,-6.47,56.93,-51.86,-9.94,60.63,33.94,55.61,-61.14,33.94,1
0.59,0.71,-0.32,-1.27,-4.07,-3.13,69.41,-56.57,-10.06,60.24,33.64,55.76,-61.43,33.64,1
0.64,0.75,-0.27,7.59,8.18,6.44,63.55,-53.3,-9.34,61.01,34.25,56.62,-60.51,34.25,1
0.63,0.67,-0.35,4.06,0.57,2.06,67.49,-62.8,-8.97,61.07,34.44,57.2,-60.5,34.44,1
0.67,0.69,-0.24,2.55,-0.11,0.52,57.87,-56.46,-8.74,61.06,34.49,57.44,-60.43,34.49,1
0.65,0.7,-0.28,3.91,-3.33,-2.24,62.53,-57.04,-8.37,60.75,34.28,57.9,-60.67,34.28,1
0.66,0.71,-0.31,-4.83,-4.33,1.51,63.95,-58.93,-8.83,60.34,34.42,57.58,-61.03,34.42,1
0.65,0.69,-0.27,6.06,-7.04,-2.35,61.04,-57.65,-8.26,59.69,34.2,58.2,-61.6,34.2,1
0.61,0.69,-0.35,0.12,-6.45,2.75,68.89,-60.84,-8.25,59.09,34.46,58.42,-62.18,34.46,1
1,0.09,-0.15,0,-0.07,-0.04,5.94,-93.45,-47.08,-54.78,362.29,-0.05,-98.98,362.29,0
1.01,0.08,-0.15,0,0,-0.07,5.36,-93.84,-47.08,-54.78,362.28,0.06,-98.87,362.28,0
1,0.09,-0.15,0.18,0.03,-0.05,6.19,-93.21,-47.06,-54.78,362.27,0.2,-98.76,362.27,0
1,0.08,-0.14,-0.17,-0.01,-0.05,5.15,-93.56,-47.08,-54.78,362.27,0.28,-98.65,362.27,0
1.01,0.09,-0.14,-0.14,-0.04,0.07,5.8,-92.92,-47.09,-54.78,362.28,0.38,-98.54,362.28,0
1,0.08,-0.13,-0.02,0.03,0.1,5.18,-93.11,-47.09,-54.78,362.29,0.47,-98.43,362.29,0
1,0.09,-0.15,0.06,0.12,-0.05,5.86,-93.58,-47.09,-54.77,362.28,0.58,-98.32,362.28,0
1,0.08,-0.14,-0.06,0.05,-0.04,5.05,-93.52,-47.09,-54.76,362.28,0.67,-98.22,362.28,0
1,0.09,-0.15,0,-0.14,-0.24,5.91,-93.69,-47.09,-54.78,362.25,0.77,-98.15,362.25,0
1,0.08,-0.15,0.06,0.15,0.24,5.6,-93.54,-47.09,-54.76,362.28,0.87,-98.04,362.28,0
1,0.09,-0.14,0.01,0.03,0.02,5.68,-92.99,-47.09,-54.76,362.28,0.97,-97.94,362.28,0
1,0.09,-0.15,0.04,0.09,-0.13,6.12,-93.3,-47.08,-54.75,362.27,1.08,-97.83,362.27,0
1,0.08,-0.14,-0.09,-0.09,-0.04,5.27,-93.32,-47.09,-54.76,362.26,1.15,-97.75,362.26,0
1,0.09,-0.15,0.01,0.08,-0.08,6.33,-93.29,-47.09,-54.75,362.26,1.26,-97.66,362.26,0
1,0.08,-0.14,-0.15,-0.06,-0.07,5.39,-93.16,-47.11,-54.76,362.25,1.33,-97.57,362.25,0
1.01,0.09,-0.15,0.06,-0.15,0.1,5.88,-93.69,-47.1,-54.77,362.26,1.42,-97.51,362.26,0
1,0.08,-0.15,-0.12,-0.01,0.01,5.57,-93.85,-47.11,-54.77,362.26,1.5,-97.44,362.26,0
1.01,0.09,-0.15,-0.11,-0.35,0.07,6.32,-93.17,-47.12,-54.81,362.27,1.58,-97.38,362.27,0
1,0.09,-0.14,-0.14,-0.04,0.07,5.84,-93.21,-47.14,-54.81,362.27,1.65,-97.3,362.27,0
1,0.08,-0.13,-0.11,-0.15,0.06,5.43,-92.9,-47.15,-54.82,362.28,1.72,-97.23,362.28,0
1,0.08,-0.14,0.14,-0.09,-0.16,5.38,-93.22,-47.13,-54.83,362.26,1.8,-97.16,362.26,0
1,0.09,-0.14,0.04,-0.11,-0.11,5.98,-92.94,-47.13,-54.84,362.25,1.89,-97.08,362.25,0
1.01,0.09,-0.14,0.03,0.22,-0.08,5.76,-93.23,-47.13,-54.82,362.25,1.97,-96.99,362.25,0
1,0.09,-0.14,-0.06,0.22,-0.05,5.81,-92.73,-47.13,-54.8,362.24,2.04,-96.88,362.24,0
1.01,0.08,-0.14,-0.05,0.2,0.06,5.52,-93.27,-47.14,-54.78,362.25,2.11,-96.79,362.25,0
1.01,0.09,-0.15,-0.06,-0.2,-0.01,5.75,-93.32,-47.14,-54.8,362.25,2.17,-96.74,362.25,0
1,0.08,-0.15,-0.03,-0.01,0.12,5.65,-93.66,-47.1,-55.03,362.39,-37.65,-136.1,362.39,0
1,0.09,-0.14,-0.08,-0.12,-0.04,5.9,-93.18,-47.11,-55.04,362.39,-36.79,-135.26,362.39,0
1,0.09,-0.15,0.01,-0.04,0.16,5.83,-93.75,-47.11,-55.05,362.41,-35.94,-134.43,362.41,0
1,0.08,-0.15,-0.02,0.23,0.01,5.49,-93.84,-47.11,-55.02,362.41,-35.11,-133.6,362.41,0
1,0.09,-0.14,-0.11,0.05,-0.02,5.65,-93.3,-47.12,-55.02,362.4,-34.31,-132.79,362.4,0
1,0.08,-0.14,-0.06,-0.04,0.09,5.57,-92.94,-47.13,-55.02,362.41,-33.51,-131.99,362.41,0
1.01,0.09,-0.14,0.06,0,-0.02,6,-93.07,-47.12,-55.02,362.41,-32.72,-131.21,362.41,0
1,0.09,-0.14,0.01,-0.06,-0.04,5.93,-93.05,-47.12,-55.03,362.41,-31.94,-130.46,362.41,0
1,0.08,-0.16,-0.05,0.41,-0.04,5.78,-94.15,-47.13,-54.99,362.4,-31.19,-129.69,362.4,0
1,0.09,-0.14,-0.05,0.05,0.16,5.76,-93.19,-47.13,-54.98,362.42,-30.46,-128.96,362.42,0
1,0.08,-0.15,-0.06,0.11,-0.11,5.72,-93.73,-47.14,-54.97,362.41,-29.74,-128.24,362.41,0
1,0.08,-0.14,0.09,-0.09,-0.01,5.66,-93.39,-47.13,-54.98,362.41,-29.03,-127.55,362.41,0
1.01,0.09,-0.15,0.09,0.05,-0.02,6.09,-93.6,-47.12,-54.98,362.41,-28.31,-126.87,362.41,0
1,0.09,-0.15,0.14,-0.04,0.16,5.92,-93.49,-47.11,-54.98,362.42,-27.62,-126.21,362.42,0
1,0.08,-0.14,-0.14,-0.03,0.04,5.54,-93.51,-47.12,-54.98,362.43,-26.97,-125.55,362.43,0
1,0.08,-0.14,-0.03,0.17,-0.08,5.42,-93.03,-47.12,-54.97,362.42,-26.32,-124.89,362.42,0
1,0.09,-0.14,0.03,0.08,0.04,6,-93,-47.12,-54.96,362.42,-25.67,-124.24,362.42,0
1,0.08,-0.14,0.01,0.35,0.07,5.6,-93.24,-47.12,-54.93,362.43,-25.05,-123.59,362.43,0
1,0.08,-0.15,0.18,-0.07,0.04,5.51,-93.68,-47.1,-54.93,362.43,-24.42,-123,362.43,0
